NAME,URL1,URL2,URL3
biryani,https://upload.wikimedia.org/wikipedia/commons/7/7c/Hyderabadi_Chicken_Biryani.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b6/The_art_of_%22BIRYANI%22.jpg,https://images.pexels.com/photos/556558/pexels-photo-556558.jpeg?cs=srgb&dl=asian-food-biryani-biryani-plate-chicken-biryani-556558.jpg&fm=jpg
pulawo Afganistan,https://c1.wallpaperflare.com/preview/614/588/924/afghani-pulao-pilaf-afghanistan-meal.jpg,https://upload.wikimedia.org/wikipedia/commons/e/eb/Kabuli_Pulao.JPG,https://c1.wallpaperflare.com/preview/566/485/250/biryani-rice-food-indian-thumbnail.jpg
burger,https://upload.wikimedia.org/wikipedia/commons/0/0b/RedDot_Burger.jpg,https://cdn.pixabay.com/photo/2019/01/21/12/47/burger-3946012_960_720.jpg,https://live.staticflickr.com/65535/48436448591_9dc8a78ee2_b.jpg
kulfi,https://upload.wikimedia.org/wikipedia/commons/6/6c/Kulfi.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b1/Malai_Kulfi.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2d/Kulfi_Malai.jpg
biscuit,https://upload.wikimedia.org/wikipedia/commons/6/63/Subhan_osmania_biscuits.jpg,https://cdn.pixabay.com/photo/2018/03/04/18/31/biscuits-3198817_960_720.jpg,https://upload.wikimedia.org/wikipedia/commons/2/23/Nice_biscuit.jpg
cold drink,https://get.pxhere.com/photo/antioxidant-beverage-closeup-cold-drink-drink-drinking-food-photography-fresh-freshness-fruit-garnet-glass-gourmet-health-healthcare-healthy-ingredient-juice-juicy-macro-mint-natural-nutrients-nutrition-nutritious-organic-pomegranate-red-refreshing-refreshment-ripe-seed-summer-tasty-tropical-vegetarian-vitamin-wellbeing-wellness-non-alcoholic-beverage-smoothie-cranberry-berry-cocktail-superfood-cocktail-garnish-punch-frutti-di-bosco-1447569.jpg,https://get.pxhere.com/photo/background-beverage-bubble-caffeine-carbonated-carbonated-drink-carbonated-water-close-up-cola-cold-cold-drink-colorful-dehydration-drink-drinking-fizz-fizzy-flavored-flavoring-fresh-freshness-glass-green-ice-ice-cube-liquid-macro-orange-pop-red-refreshing-refreshment-soda-soft-drink-sugary-sweet-drinks-tasty-thirst-thirsty-unhealthy-wallpaper-water-white-background-beer-glass-non-alcoholic-beverage-pint-glass-beer-cocktail-highball-glass-cuba-libre-pint-us-juice-italian-soda-grog-old-fashioned-glass-1456355.jpg,https://c0.wallpaperflare.com/preview/134/590/339/beverage-closeup-cold-drink.jpg
chicken briyani muradabadi,https://upload.wikimedia.org/wikipedia/commons/0/0c/Darbar_Hazrat_Baba_Farid_ud_Deen_Ganj_Shakar_Rahmatullah_Alaih_-_panoramio.jpg,,
chicken biryani hyderabadi,https://upload.wikimedia.org/wikipedia/commons/7/7c/Hyderabadi_Chicken_Biryani.jpg,https://live.staticflickr.com/4427/36944430341_868653f31f_b.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2f/Chicken_Biryani_from_the_streets_of_Hyderabad.JPG
chicken kabab,https://upload.wikimedia.org/wikipedia/commons/2/2b/Chicken_Kabab.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d5/Chicken_Tangdi_Kebab.jpg,https://c1.staticflickr.com/1/294/33199566666_8f84b7ef43_b.jpg
mutoon kabab,https://upload.wikimedia.org/wikipedia/commons/3/3a/Mutton_Seekh_Kabab.JPG,https://upload.wikimedia.org/wikipedia/commons/2/21/Mughlai_Mutton_Chop_Kababs.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5d/K%C3%B6fte_kebabs.jpg
ice cream,https://upload.wikimedia.org/wikipedia/commons/e/ea/Ice_cream_cone_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/d/da/Strawberry_ice_cream_cone_%285076899310%29.jpg,https://images.pexels.com/photos/1362534/pexels-photo-1362534.jpeg?cs=srgb&dl=two-ice-cream-cups-1362534.jpg&fm=jpg
